A1;|;24;HORTIFRUTI DO CHEF LTDA;AV Dr Gastao Vidigal;1946;PV  AMB  BOX  16 B;Vila Leopoldina;Sao Paulo;SP;05314000;12607393000185;147521337116;;03550308
B2;|;S;NF;1;;21180;2728;5102;536;Uva Thompson;00000000000500;00001000;00001000;00000;00000000000084;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;36;Batata Doce;00000000003500;00001000;00001000;00000;00000000000086;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;37;Berinjela;00000000002000;00001000;00001000;00000;00000000000072;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;310;Cenoura;00000000003000;00001000;00001000;00000;00000000000102;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;319;Pepino Japones;00000000001500;00001000;00001000;00000;00000000000078;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;333;Pimentao Amarelo;00000000000500;00001000;00001000;00000;00000000000073;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;322;Pimentao Verde;00000000000500;00001000;00001000;00000;00000000000025;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;321;Pimentao Vermelho;00000000000500;00001000;00001000;00000;00000000000069;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;356;Tomate Cereja;00000000002000;00000300;00000300;00000;00000000000238;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;326;Tomate Salada;00000000004000;00001000;00001000;00000;00000000000292;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
