A1|24      HORTIFRUTI DO CHEF LTDA                                               AV Dr Gastao Vidigal                    1946  PV  AMB  BOX  16 B  Vila Leopoldina     Sao Paulo           SP0531400012607393000185    147521337116                03550308
B2|SNF 1    21180    2728          5102    322          Pimentao Verde                                    00000000000500000010000000100000000000000000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    321          Pimentao Vermelho                                 00000000000500000010000000100000000000000000000690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    356          Tomate Cereja                                     00000000002000000003000000030000000000000000002380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    326          Tomate Salada                                     00000000004000000010000000100000000000000000002920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    324          Vagem                                             00000000001000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    43           Batata Asterix                                    00000000010000000010000000100000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    42           Batata Bolinha                                    00000000003000000010000000100000000000000000001080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    47           Cebola Conserva                                   00000000000500000010000000100000000000000000000260000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    361          Cebola Grauda                                     00000000002000000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    440          Cebola Roxa                                       00000000001000000010000000100000000000000000000560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    330          Bifum                                             00000000001000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    444          Ovo Extra                                         00000000006000000030000000300000000000000000008340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21181    2692                01042019010420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21181    2692          5102    01           Acelga                                            00000000002000000010000000100000000000000000000960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    05           Alecrim                                           00000000000180000002000000020000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    013          Cebolinha                                         00000000000100000010000000100000000000000000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    015          Ciboleti                                          00000000000100000010000000100000000000000000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    016          Coentro                                           00000000000100000002000000020000000000000000000350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    022          Endivia                                           00000000000500000010000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    034          Hortela                                           00000000000200000002000000020000000000000000000290000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    037          Manjericao                                        00000000000200000002000000020000000000000000000440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    12           Abacaxi                                           00000000008000000010000000100000000000000000003520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    15           Banana Nanica                                     00000000010000000010000000100000000000000000003600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    519          Banana da Terra                                   00000000002000000010000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    1100         Carambola                                         00000000000300000000700000007000000000000000000350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    522          Coco Ralado                                       00000000002000000010000000100000000000000000005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    523          Coco verde                                        00000000010000000010000000100000000000000000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
